District,School,Assessment,"Proficient, 2022","Proficient, 2023","Proficient, 2024",Percentage point change 2022-'23,Percentage point change 2023-'24
Allegany,Mount Savage Middle,Mathematics 8,9.2,10.5,7.3,1.3,-3.2
Allegany,Mount Savage Middle,Mathematics 6,31.2,25.8,21.9,-5.4,-3.9
Allegany,Mount Savage Middle,Mathematics 7,27.4,35.4,32.4,8,-3
Allegany,Mount Savage Middle,English Language Arts 6,61,62.1,50,1.1,-12.1
Allegany,Mount Savage Middle,Algebra 1,42.1,53.2,50.9,11.1,-2.3
Allegany,Mount Savage Middle,English Language Arts 7,48.8,64.8,62.1,16,-2.7
Allegany,Mount Savage Middle,English Language Arts 8,69.2,58.6,62.6,-10.6,4
Howard,Mount View Middle,Mathematics 8,24.6,28.6,27.4,4,-1.2
Howard,Mount View Middle,Mathematics 7,28.3,32.5,34.7,4.2,2.2
Howard,Mount View Middle,Mathematics 6,60.4,57.9,68.2,-2.5,10.3
Howard,Mount View Middle,English Language Arts 7,73,79.2,77.4,6.2,-1.8
Howard,Mount View Middle,English Language Arts 6,83.1,78.7,82.5,-4.4,3.8
Howard,Mount View Middle,English Language Arts 8,77.5,74.9,82.7,-2.6,7.8
Howard,Mount View Middle,Geometry,89.8,91.3,87,1.5,-4.3
Howard,Mount View Middle,Algebra 1,73.2,89.2,87.7,16,-1.5
Howard,Mount View Middle,Algebra 2,85.7,95,95,,
Allegany,Mountain Ridge High School,Geometry,9.5,14.5,24.6,5,10.1
Allegany,Mountain Ridge High School,English Language Arts 10,42.7,57,49.4,14.3,-7.6
Allegany,Mountain Ridge High School,Algebra 2,5,5.7,*,,
Allegany,Mountain Ridge High School,Algebra 1,5,15.9,5,,
Charles,Mt Hope/Nanjemoy Elementary School,Mathematics 5,24.3,17.4,17.1,-6.9,-0.3
Charles,Mt Hope/Nanjemoy Elementary School,Mathematics 4,25.5,35.9,30.6,10.4,-5.3
Charles,Mt Hope/Nanjemoy Elementary School,Mathematics 3,36.1,39.5,39.2,3.4,-0.3
Charles,Mt Hope/Nanjemoy Elementary School,English Language Arts 5,37.8,30.4,43.9,-7.4,13.5
Charles,Mt Hope/Nanjemoy Elementary School,English Language Arts 3,50,50,49,0,-1
Charles,Mt Hope/Nanjemoy Elementary School,English Language Arts 4,44.7,51.3,52.8,6.6,1.5
Prince George's,Mt Rainier Elementary,Mathematics 4,5,15.6,5.4,,-10.2
Prince George's,Mt Rainier Elementary,Mathematics 3,6.8,5,12.5,,
Prince George's,Mt Rainier Elementary,Mathematics 5,10.6,12.1,16.7,1.5,4.6
Prince George's,Mt Rainier Elementary,English Language Arts 4,20,43.2,19.4,23.2,-23.8
Prince George's,Mt Rainier Elementary,English Language Arts 3,27.3,15.2,20,-12.1,4.8
Prince George's,Mt Rainier Elementary,English Language Arts 5,21.7,5,29.8,,
Prince George's,Mt Rainier Elementary,Mathematics 6,5,8.7,,,
Prince George's,Mt Rainier Elementary,English Language Arts 6,29.3,39.1,,,
Allegany,Mt. Savage Elementary,Mathematics 5,12.5,35.7,18.8,23.2,-16.9
Allegany,Mt. Savage Elementary,Mathematics 4,23.3,30,34.2,6.7,4.2
Allegany,Mt. Savage Elementary,English Language Arts 5,28.1,57.1,43.8,29,-13.3
Allegany,Mt. Savage Elementary,English Language Arts 4,60,50,50,-10,0
Allegany,Mt. Savage Elementary,Mathematics 3,30.8,50,55.3,19.2,5.3
Allegany,Mt. Savage Elementary,English Language Arts 3,23.1,41.2,65.8,18.1,24.6
Howard,Murray Hill Middle,Mathematics 8,9.3,5,6.5,,
Howard,Murray Hill Middle,Mathematics 7,5,6.8,9.8,,3
Howard,Murray Hill Middle,Mathematics 6,20.5,32.7,24.9,12.2,-7.8
Howard,Murray Hill Middle,English Language Arts 8,43.7,36.5,47.1,-7.2,10.6
Howard,Murray Hill Middle,English Language Arts 6,45.7,57.4,49.5,11.7,-7.9
Howard,Murray Hill Middle,Geometry,73.9,70,52.9,-3.9,-17.1
Howard,Murray Hill Middle,English Language Arts 7,36.3,42.4,56.3,6.1,13.9
Howard,Murray Hill Middle,Algebra 1,56.7,48.2,70.2,-8.5,22
Howard,Murray Hill Middle,Algebra 2,,*,*,,
Calvert,Mutual Elementary,Mathematics 5,29,36.2,37,7.2,0.8
Calvert,Mutual Elementary,Mathematics 4,40,33.3,38.7,-6.7,5.4
Calvert,Mutual Elementary,English Language Arts 5,42,55.3,50.7,13.3,-4.6
Calvert,Mutual Elementary,Mathematics 3,40.8,34.9,64.1,-5.9,29.2
Calvert,Mutual Elementary,English Language Arts 4,64.4,59.7,67.7,-4.7,8
Calvert,Mutual Elementary,English Language Arts 3,45.7,63.5,70.3,17.8,6.8
Frederick,Myersville Elementary,Mathematics 3,62.7,60,65.4,-2.7,5.4
Frederick,Myersville Elementary,Mathematics 5,45.5,47.2,66.7,1.7,19.5
Frederick,Myersville Elementary,Mathematics 4,42.6,63,76.3,20.4,13.3
Frederick,Myersville Elementary,English Language Arts 3,73.1,65.5,76.3,-7.6,10.8
Frederick,Myersville Elementary,English Language Arts 5,72.7,65.3,77.8,-7.4,12.5
Frederick,Myersville Elementary,English Language Arts 4,68.7,80.8,84.7,12.1,3.9
Anne Arundel,Nantucket Elementary,Mathematics 5,26.5,38.3,36.4,11.8,-1.9
Anne Arundel,Nantucket Elementary,Mathematics 3,42,44.5,37.6,2.5,-6.9
Anne Arundel,Nantucket Elementary,Mathematics 4,44.5,32.5,39,-12,6.5
Anne Arundel,Nantucket Elementary,English Language Arts 3,54.5,66.4,60.2,11.9,-6.2
Anne Arundel,Nantucket Elementary,English Language Arts 4,66.4,64.6,64.5,-1.8,-0.1
Anne Arundel,Nantucket Elementary,English Language Arts 5,68.1,60.6,65.8,-7.5,5.2
Baltimore City,National Academy Foundation,Mathematics 8,5,5,5.5,,
Baltimore City,National Academy Foundation,English Language Arts 8,5,5,7.1,,
Baltimore City,National Academy Foundation,English Language Arts 10,6.2,5.3,8.6,-0.9,3.3
Baltimore City,National Academy Foundation,English Language Arts 7,5,6.7,9.4,,2.7
Baltimore City,National Academy Foundation,English Language Arts 6,5,5,5,,
Baltimore City,National Academy Foundation,Mathematics 6,5,5,5,,
Baltimore City,National Academy Foundation,Mathematics 7,5,5,5,,
Baltimore City,National Academy Foundation,Algebra 1,5,5,5,,
Montgomery,Neelsville Middle,Mathematics 6,9.2,11.6,9.5,2.4,-2.1
Montgomery,Neelsville Middle,Algebra 1,5.9,26,27.2,20.1,1.2
Montgomery,Neelsville Middle,English Language Arts 8,33.2,28.6,32.4,-4.6,3.8
Montgomery,Neelsville Middle,Geometry,10.9,14,34.9,3.1,20.9
Montgomery,Neelsville Middle,English Language Arts 6,38.6,36.6,35.6,-2,-1
Montgomery,Neelsville Middle,English Language Arts 7,27.5,33.6,38.3,6.1,4.7
Montgomery,Neelsville Middle,Mathematics 7,5,5,5,,
Montgomery,Neelsville Middle,Mathematics 8,5,5,5,,
Montgomery,Neelsville Middle,Algebra 2,*,,,,
Baltimore City,New Era Academy,English Language Arts 10,5,6.2,,,
Baltimore City,New Era Academy,Algebra 1,5,5,,,
Frederick,New Market Elementary,Mathematics 5,48.2,52,55.8,3.8,3.8
Frederick,New Market Elementary,English Language Arts 5,69.6,62.4,63.8,-7.2,1.4
Frederick,New Market Elementary,Mathematics 3,60,72.9,69.2,12.9,-3.7
Frederick,New Market Elementary,English Language Arts 3,63.3,84.7,73.8,21.4,-10.9
Frederick,New Market Elementary,Mathematics 4,55.7,62.4,78.2,6.7,15.8
Frederick,New Market Elementary,English Language Arts 4,66,73.1,79.5,7.1,6.4
Frederick,New Market Middle,Mathematics 8,22.7,23.9,26.9,1.2,3
Frederick,New Market Middle,Mathematics 7,32.6,31.9,29.4,-0.7,-2.5
Frederick,New Market Middle,Mathematics 6,21.1,21.5,33.8,0.4,12.3
Frederick,New Market Middle,Algebra 1,63,73.4,60.9,10.4,-12.5
Frederick,New Market Middle,English Language Arts 6,56.8,55.9,62.1,-0.9,6.2
Frederick,New Market Middle,English Language Arts 8,53.6,64.2,62.2,10.6,-2
Frederick,New Market Middle,English Language Arts 7,62.7,56.1,63.1,-6.6,7
Frederick,New Market Middle,Geometry,46.2,*,*,,
Frederick,New Midway/Woodsboro Elementary,Mathematics 5,28.6,32.6,33.3,4,0.7
Frederick,New Midway/Woodsboro Elementary,Mathematics 4,26.7,41.9,37.2,15.2,-4.7
Frederick,New Midway/Woodsboro Elementary,English Language Arts 5,46.4,41.9,47.9,-4.5,6
Frederick,New Midway/Woodsboro Elementary,English Language Arts 4,44.4,41.9,65.1,-2.5,23.2
Frederick,New Midway/Woodsboro Elementary,Mathematics 3,31.1,52.1,65.8,21,13.7
Frederick,New Midway/Woodsboro Elementary,English Language Arts 3,37.8,54.2,65.8,16.4,11.6
Baltimore City,New Song Academy,Mathematics 7,5,6.3,5.9,,-0.4
Baltimore City,New Song Academy,Mathematics 4,6.3,5,5.9,,
Baltimore City,New Song Academy,Mathematics 8,5,5,6.7,,
Baltimore City,New Song Academy,English Language Arts 3,5,5.9,10.5,,4.6
Baltimore City,New Song Academy,English Language Arts 4,18.8,6.3,11.8,-12.5,5.5
Baltimore City,New Song Academy,Mathematics 6,6.3,5.6,18.8,-0.7,13.2
Baltimore City,New Song Academy,English Language Arts 7,5,43.8,29.4,,-14.4
Baltimore City,New Song Academy,English Language Arts 6,29.4,33.3,50,3.9,16.7
Baltimore City,New Song Academy,English Language Arts 8,47.4,12.5,60,-34.9,47.5
Baltimore City,New Song Academy,Mathematics 5,5.3,18.8,5,13.5,
Baltimore City,New Song Academy,English Language Arts 5,10.5,25,5,14.5,
Baltimore City,New Song Academy,Mathematics 3,5,5,5,,
Baltimore County,New Town Elementary,Mathematics 5,5.3,19,9.6,13.7,-9.4
Baltimore County,New Town Elementary,Mathematics 4,30.9,14.7,21.1,-16.2,6.4
Baltimore County,New Town Elementary,Mathematics 3,30.6,35.3,28.5,4.7,-6.8
Baltimore County,New Town Elementary,English Language Arts 5,40.9,40.8,30.4,-0.1,-10.4
Baltimore County,New Town Elementary,English Language Arts 3,40.7,46,42.2,5.3,-3.8
Baltimore County,New Town Elementary,English Language Arts 4,48.9,35.9,42.9,-13,7
Baltimore County,New Town High,English Language Arts 10,26,31.8,35.9,5.8,4.1
Baltimore County,New Town High,Algebra 1,5,5,5,,
Baltimore County,New Town High,Geometry,5,5,5,,
Baltimore County,New Town High,Algebra 2,,5,5,,
Montgomery,Newport Mill Middle,Mathematics 7,6.9,5,10.7,,
Montgomery,Newport Mill Middle,Algebra 1,29.4,22.6,15.5,-6.8,-7.1
Montgomery,Newport Mill Middle,Mathematics 6,13.8,19.2,15.7,5.4,-3.5
Montgomery,Newport Mill Middle,Geometry,27.7,63.2,32.1,35.5,-31.1
Montgomery,Newport Mill Middle,English Language Arts 8,34.8,35.4,39.5,0.6,4.1
Montgomery,Newport Mill Middle,English Language Arts 6,39.6,38.3,40.8,-1.3,2.5
Montgomery,Newport Mill Middle,English Language Arts 7,32.8,41.6,48.9,8.8,7.3
Montgomery,Newport Mill Middle,Mathematics 8,5.4,5,5,,
Prince George's,Nicholas Orem Middle,Mathematics 6,5,5,6.6,,
Prince George's,Nicholas Orem Middle,Algebra 1,23.5,16.1,33.3,-7.4,17.2
Prince George's,Nicholas Orem Middle,English Language Arts 8,32.4,44.3,34.9,11.9,-9.4
Prince George's,Nicholas Orem Middle,English Language Arts 6,34.5,45.8,44.5,11.3,-1.3
Prince George's,Nicholas Orem Middle,English Language Arts 7,35.8,45.1,45.3,9.3,0.2
Prince George's,Nicholas Orem Middle,Mathematics 8,5,5.1,5,,
Prince George's,Nicholas Orem Middle,Mathematics 7,6.8,5,5,,
Prince George's,Non-Traditional Program Middle,English Language Arts 7,,,5.9,,
Prince George's,Non-Traditional Program Middle,English Language Arts 6,,,*,,
Prince George's,Non-Traditional Program Middle,Mathematics 6,,,*,,
Prince George's,Non-Traditional Program Middle,English Language Arts 8,,,5,,
Prince George's,Non-Traditional Program Middle,Mathematics 7,,,5,,
Prince George's,Non-Traditional Program Middle,Mathematics 8,,,5,,
Prince George's,Non-Traditional Program North,English Language Arts 10,,,9,,
Prince George's,Non-Traditional Program North,Algebra 1,,,5,,
Prince George's,Non-Traditional Program South,Geometry,,,*,,
Prince George's,Non-Traditional Program South,English Language Arts 10,,,5,,
Prince George's,Non-Traditional Program South,Algebra 1,,,5,,
Harford,Norrisville Elementary,Mathematics 5,41,46.2,55.2,5.2,9
Harford,Norrisville Elementary,English Language Arts 3,81.5,61.1,60.6,-20.4,-0.5
Harford,Norrisville Elementary,Mathematics 4,42.5,64.3,61.8,21.8,-2.5
Harford,Norrisville Elementary,Mathematics 3,74.1,55.6,66.7,-18.5,11.1
Harford,Norrisville Elementary,English Language Arts 4,45,85.7,79.4,40.7,-6.3
Harford,Norrisville Elementary,English Language Arts 5,61.5,61.5,82.8,0,21.3
Harford,North Bend Elementary,Mathematics 4,36,48,42,12,-6
Harford,North Bend Elementary,Mathematics 5,40.7,43.6,42.9,2.9,-0.7
Harford,North Bend Elementary,Mathematics 3,47.9,51.2,46.2,3.3,-5
Harford,North Bend Elementary,English Language Arts 3,61.2,67.1,47.1,5.9,-20
Harford,North Bend Elementary,English Language Arts 5,64.4,60,63.3,-4.4,3.3
Harford,North Bend Elementary,English Language Arts 4,64,62,76.5,-2,14.5
Baltimore City,North Bend Elementary/Middle,Mathematics 5,5,6.5,7.3,,0.8
Baltimore City,North Bend Elementary/Middle,Mathematics 6,5,5,10.6,,
Baltimore City,North Bend Elementary/Middle,Mathematics 4,5,8.1,11.4,,3.3
Baltimore City,North Bend Elementary/Middle,English Language Arts 8,20.3,36.6,19.5,16.3,-17.1
Baltimore City,North Bend Elementary/Middle,English Language Arts 5,19.4,21.7,22.5,2.3,0.8
Baltimore City,North Bend Elementary/Middle,English Language Arts 7,26.8,23.3,27.9,-3.5,4.6
Baltimore City,North Bend Elementary/Middle,English Language Arts 3,22.2,26.7,33.9,4.5,7.2
Baltimore City,North Bend Elementary/Middle,English Language Arts 6,13,24.3,35.6,11.3,11.3
Baltimore City,North Bend Elementary/Middle,English Language Arts 4,26.4,41.7,45.5,15.3,3.8
Baltimore City,North Bend Elementary/Middle,Mathematics 3,33.3,54.3,48.3,21,-6
Baltimore City,North Bend Elementary/Middle,Algebra 1,5,*,*,,
Baltimore City,North Bend Elementary/Middle,Mathematics 7,5,5,5,,
Baltimore City,North Bend Elementary/Middle,Mathematics 8,5,5,5,,
Montgomery,North Bethesda Middle,Mathematics 7,20.7,19,23.3,-1.7,4.3
Montgomery,North Bethesda Middle,Mathematics 6,43.4,46.5,47,3.1,0.5
Montgomery,North Bethesda Middle,English Language Arts 6,81.5,77.9,70.2,-3.6,-7.7
Montgomery,North Bethesda Middle,Algebra 1,56.5,54.8,71.4,-1.7,16.6
Montgomery,North Bethesda Middle,Geometry,73.8,73.2,72.2,-0.6,-1
Montgomery,North Bethesda Middle,English Language Arts 7,69,75.2,75.5,6.2,0.3
Montgomery,North Bethesda Middle,English Language Arts 8,72,69.1,76.5,-2.9,7.4
Montgomery,North Bethesda Middle,Mathematics 8,8.6,6.3,5,-2.3,
Montgomery,North Bethesda Middle,Algebra 2,*,*,,,
Caroline,North Caroline High School,Algebra 1,5,5,8.1,,
Caroline,North Caroline High School,Geometry,5,8.8,49.2,,40.4
Caroline,North Caroline High School,English Language Arts 10,42.9,39.1,58.5,-3.8,19.4
Caroline,North Caroline High School,Algebra 2,6.1,8.7,,,
Carroll,North Carroll Middle,Mathematics 8,5,5.6,7.9,,2.3
Carroll,North Carroll Middle,Mathematics 6,17.3,17,13.2,-0.3,-3.8
Carroll,North Carroll Middle,Mathematics 7,16,12.9,20.9,-3.1,8
Carroll,North Carroll Middle,Algebra 1,15.5,35.6,42.2,20.1,6.6
Carroll,North Carroll Middle,English Language Arts 8,43.3,59.4,61.5,16.1,2.1
Carroll,North Carroll Middle,English Language Arts 6,63.1,64.6,62.7,1.5,-1.9
Carroll,North Carroll Middle,English Language Arts 7,57.9,68.3,73,10.4,4.7
Montgomery,North Chevy Chase Elementary,Mathematics 4,43.1,45.1,43.4,2,-1.7
Montgomery,North Chevy Chase Elementary,Mathematics 5,41.2,53.8,57.6,12.6,3.8
Montgomery,North Chevy Chase Elementary,English Language Arts 5,67.6,67.5,64.3,-0.1,-3.2
Montgomery,North Chevy Chase Elementary,English Language Arts 3,75.6,83.5,68.4,7.9,-15.1
Montgomery,North Chevy Chase Elementary,English Language Arts 4,65.7,63.8,72,-1.9,8.2
Montgomery,North Chevy Chase Elementary,Mathematics 3,64.3,73.4,73.7,9.1,0.3
Anne Arundel,North County High,Algebra 1,5,5,5.2,,
Anne Arundel,North County High,English Language Arts 10,36.8,46.6,56.4,9.8,9.8
Dorchester,North Dorchester High School,English Language Arts 10,57.7,38.9,37.3,-18.8,-1.6
Dorchester,North Dorchester High School,Algebra 1,5,5.6,5,,
Dorchester,North Dorchester High School,Algebra 2,6.7,5,5,,
Dorchester,North Dorchester High School,Geometry,5,5,5,,
Dorchester,North Dorchester Middle School,Mathematics 8,9.7,13.5,10.3,3.8,-3.2
Dorchester,North Dorchester Middle School,Mathematics 7,15,15.9,18.3,0.9,2.4
Dorchester,North Dorchester Middle School,Mathematics 6,14.1,13.1,20.2,-1,7.1
Dorchester,North Dorchester Middle School,English Language Arts 8,23.3,35.3,34.5,12,-0.8
Dorchester,North Dorchester Middle School,English Language Arts 7,30.3,28.8,39.7,-1.5,10.9
Dorchester,North Dorchester Middle School,Algebra 1,38.1,42.9,44.4,4.8,1.5
Dorchester,North Dorchester Middle School,English Language Arts 6,33.6,46.7,62.9,13.1,16.2
Cecil,North East Elementary,Mathematics 5,5,23.4,14.4,,-9
Cecil,North East Elementary,Mathematics 4,24.5,20.6,19.6,-3.9,-1
Cecil,North East Elementary,English Language Arts 3,40.4,32.7,24.1,-7.7,-8.6
Cecil,North East Elementary,Mathematics 3,30.3,20.2,27.7,-10.1,7.5
Cecil,North East Elementary,English Language Arts 5,14.5,27.7,28.1,13.2,0.4
Cecil,North East Elementary,English Language Arts 4,30.6,44.3,42.2,13.7,-2.1
Cecil,North East High,English Language Arts 10,54.6,49.8,51.3,-4.8,1.5
Cecil,North East High,Algebra 1,5,5,5,,
Cecil,North East Middle,Mathematics 6,7.9,5.5,8.3,-2.4,2.8
Cecil,North East Middle,Mathematics 7,12.8,11.4,12,-1.4,0.6
Cecil,North East Middle,English Language Arts 6,34,33.1,29.5,-0.9,-3.6
Cecil,North East Middle,Algebra 1,32.3,46.2,37.6,13.9,-8.6
Cecil,North East Middle,English Language Arts 7,33.2,42,40.9,8.8,-1.1
Cecil,North East Middle,English Language Arts 8,40.9,45.2,40.9,4.3,-4.3
Cecil,North East Middle,Mathematics 8,5.6,5,5,,
Prince George's,North Forestville Elementary,Mathematics 4,7,5,13.3,,
Prince George's,North Forestville Elementary,English Language Arts 5,18.9,36.4,20.9,17.5,-15.5
Prince George's,North Forestville Elementary,Mathematics 3,5,14.3,24.4,,10.1
Prince George's,North Forestville Elementary,English Language Arts 3,19.6,30,27.5,10.4,-2.5
Prince George's,North Forestville Elementary,English Language Arts 4,40.5,30,34.9,-10.5,4.9
Prince George's,North Forestville Elementary,Mathematics 5,7.9,10.6,5,2.7,
Frederick,North Frederick Elementary,Mathematics 4,31.3,38.5,29.2,7.2,-9.3
Frederick,North Frederick Elementary,Mathematics 5,36.5,28.6,33,-7.9,4.4
Frederick,North Frederick Elementary,Mathematics 3,45.5,46.1,35.6,0.6,-10.5
Frederick,North Frederick Elementary,English Language Arts 5,58.3,47.8,48.9,-10.5,1.1
Frederick,North Frederick Elementary,English Language Arts 4,47,59.8,51.7,12.8,-8.1
Frederick,North Frederick Elementary,English Language Arts 3,52.3,52.8,53.1,0.5,0.3
Anne Arundel,North Glen Elementary,Mathematics 4,5.9,11.4,6,5.5,-5.4
Anne Arundel,North Glen Elementary,Mathematics 5,9.1,6.7,9.3,-2.4,2.6
Anne Arundel,North Glen Elementary,English Language Arts 5,45.5,11.4,11.6,-34.1,0.2
Anne Arundel,North Glen Elementary,English Language Arts 3,12.1,22.6,24.5,10.5,1.9
Anne Arundel,North Glen Elementary,English Language Arts 4,23.5,27.9,26,4.4,-1.9
Anne Arundel,North Glen Elementary,Mathematics 3,9.1,18.9,26.5,9.8,7.6
Washington,North Hagerstown High,Algebra 1,5,10.9,15.3,,4.4
Washington,North Hagerstown High,English Language Arts 10,57.4,59.7,60.1,2.3,0.4
Washington,North Hagerstown High,Geometry,5,6.1,5,,
Washington,North Hagerstown High,Algebra 2,15.9,40,,,
Harford,North Harford Elementary,Mathematics 4,40,43.5,43.1,3.5,-0.4
Harford,North Harford Elementary,Mathematics 5,33.3,37.5,43.8,4.2,6.3
Harford,North Harford Elementary,English Language Arts 5,73.3,48.2,56.3,-25.1,8.1
Harford,North Harford Elementary,Mathematics 3,57.9,42.9,58.5,-15,15.6
Harford,North Harford Elementary,English Language Arts 4,67.9,72.6,63.8,4.7,-8.8
Harford,North Harford Elementary,English Language Arts 3,65.5,58.9,69.2,-6.6,10.3
Harford,North Harford High,Geometry,5,5.6,8.4,,2.8
Harford,North Harford High,Algebra 1,5,7.2,13.5,,6.3
Harford,North Harford High,Algebra 2,11.8,24.4,27.5,12.6,3.1
Harford,North Harford High,English Language Arts 10,66.2,66.6,60.9,0.4,-5.7
Harford,North Harford Middle,Mathematics 8,8.2,9.8,6.3,1.6,-3.5
Harford,North Harford Middle,Mathematics 7,21.5,18.6,13.5,-2.9,-5.1
Harford,North Harford Middle,Mathematics 6,23.4,32.8,27.9,9.4,-4.9
Harford,North Harford Middle,English Language Arts 7,48.7,64,56.6,15.3,-7.4
Harford,North Harford Middle,Algebra 1,42.6,59.8,57.5,17.2,-2.3
Harford,North Harford Middle,English Language Arts 8,45.2,48.6,63.8,3.4,15.2
Harford,North Harford Middle,Geometry,32.1,47.6,66.7,15.5,19.1
Harford,North Harford Middle,English Language Arts 6,60.9,69.8,69.5,8.9,-0.3
Charles,North Point High School,Algebra 2,19.5,12.4,20.1,-7.1,7.7
Charles,North Point High School,English Language Arts 10,63.3,62.6,62.3,-0.7,-0.3
Charles,North Point High School,Algebra 1,5,5,5,,
Wicomico,North Salisbury Elementary,Mathematics 5,38.8,40.2,36.7,1.4,-3.5
Wicomico,North Salisbury Elementary,English Language Arts 5,47.9,46.8,48.9,-1.1,2.1
Wicomico,North Salisbury Elementary,Mathematics 4,45.6,44,55.1,-1.6,11.1
Wicomico,North Salisbury Elementary,English Language Arts 4,58.2,53.5,60.5,-4.7,7
Wicomico,North Salisbury Elementary,Mathematics 3,53.4,62.8,62.2,9.4,-0.6
Wicomico,North Salisbury Elementary,English Language Arts 3,53.4,66.3,64.2,12.9,-2.1
Baltimore County,Northeast EDLP at Parkville High School,Mathematics 7,,,*,,
Baltimore County,Northeast EDLP at Parkville High School,Algebra 1,,,*,,
Allegany,Northeast Elementary,Mathematics 5,44.7,41,36.8,-3.7,-4.2
Allegany,Northeast Elementary,English Language Arts 5,53.2,53.8,44.7,0.6,-9.1
Allegany,Northeast Elementary,Mathematics 4,61.9,56.1,53.8,-5.8,-2.3
Allegany,Northeast Elementary,English Language Arts 3,38.5,53.7,55,15.2,1.3
Allegany,Northeast Elementary,Mathematics 3,41,43.9,57.5,2.9,13.6
Allegany,Northeast Elementary,English Language Arts 4,58.1,58.5,69.2,0.4,10.7
Anne Arundel,Northeast High,Algebra 1,5,5,8.5,,
Anne Arundel,Northeast High,English Language Arts 10,51.9,56.1,62.7,4.2,6.6
Anne Arundel,Northeast High,Geometry,,,*,,
Anne Arundel,Northeast Middle,Mathematics 6,8.7,11.1,10.2,2.4,-0.9
Anne Arundel,Northeast Middle,Mathematics 7,8.8,10,14.6,1.2,4.6
Anne Arundel,Northeast Middle,English Language Arts 8,31.3,29.1,35.3,-2.2,6.2
Anne Arundel,Northeast Middle,English Language Arts 7,33.7,25,36,-8.7,11
Anne Arundel,Northeast Middle,English Language Arts 6,35.1,38.4,37.6,3.3,-0.8
Anne Arundel,Northeast Middle,Algebra 1,5,26.2,45,,18.8
Anne Arundel,Northeast Middle,Mathematics 8,5.2,5,5,,
Anne Arundel,Northeast Middle,Geometry,*,,,,
Garrett,Northern Garrett High School,Algebra 1,22,23.8,21.9,1.8,-1.9
Garrett,Northern Garrett High School,Algebra 2,16.2,33.3,25.7,17.1,-7.6
Garrett,Northern Garrett High School,English Language Arts 10,69.8,83.7,65.5,13.9,-18.2
Garrett,Northern Garrett High School,Geometry,7.5,*,,,
Calvert,Northern High,Algebra 1,9.3,14.1,11.4,4.8,-2.7
Calvert,Northern High,Algebra 2,29.5,9.3,17.1,-20.2,7.8
Calvert,Northern High,Geometry,20.1,18.5,25.5,-1.6,7
Calvert,Northern High,English Language Arts 10,72.7,88.9,76.9,16.2,-12
Washington,Northern Middle,Mathematics 8,9.6,6.9,8.4,-2.7,1.5
Washington,Northern Middle,Mathematics 7,12.5,12.3,17.6,-0.2,5.3
Washington,Northern Middle,Mathematics 6,17.3,17.4,27.6,0.1,10.2
Calvert,Northern Middle,Mathematics 7,32.8,31.7,28.4,-1.1,-3.3
Calvert,Northern Middle,Mathematics 8,21.7,27.8,32.3,6.1,4.5
Calvert,Northern Middle,Mathematics 6,30.5,27.6,33.1,-2.9,5.5
Washington,Northern Middle,English Language Arts 8,44.4,52.6,48.9,8.2,-3.7
Washington,Northern Middle,English Language Arts 6,34.9,43.4,50.4,8.5,7
Washington,Northern Middle,English Language Arts 7,43.9,44.5,51.4,0.6,6.9
Calvert,Northern Middle,Algebra 1,37.2,51.4,57.3,14.2,5.9
Calvert,Northern Middle,English Language Arts 7,76.8,75.4,70.4,-1.4,-5
Calvert,Northern Middle,English Language Arts 8,73.3,78.1,72.2,4.8,-5.9
Washington,Northern Middle,Algebra 1,50,67.8,72.3,17.8,4.5
Calvert,Northern Middle,English Language Arts 6,66.1,74.7,76.7,8.6,2
Washington,Northern Middle,Geometry,56.3,85.2,90.5,28.9,5.3
Calvert,Northern Middle,Geometry,*,95,*,,
Calvert,Northern Middle,Algebra 2,*,,,,
Garrett,Northern Middle School,Mathematics 6,15.6,22.2,17.7,6.6,-4.5
Garrett,Northern Middle School,Mathematics 8,31.6,34.5,23.4,2.9,-11.1
Garrett,Northern Middle School,Mathematics 7,36.8,31.7,35.5,-5.1,3.8
Garrett,Northern Middle School,English Language Arts 6,62.5,72,55.2,9.5,-16.8
Garrett,Northern Middle School,English Language Arts 7,65.8,54.8,66.4,-11,11.6
Garrett,Northern Middle School,English Language Arts 8,52.9,71.9,68.6,19,-3.3
Garrett,Northern Middle School,Algebra 1,50,67.7,79.2,17.7,11.5
Garrett,Northern Middle School,Algebra 2,,,*,,
Howard,Northfield Elementary,Mathematics 5,53.8,56.5,63.7,2.7,7.2
Howard,Northfield Elementary,Mathematics 4,49.6,65.3,65.9,15.7,0.6
Howard,Northfield Elementary,English Language Arts 4,71.3,84,72,12.7,-12
Howard,Northfield Elementary,Mathematics 3,79.8,68.3,74.2,-11.5,5.9
Howard,Northfield Elementary,English Language Arts 3,89.6,76.3,75.2,-13.3,-1.1
Howard,Northfield Elementary,English Language Arts 5,60,71.8,77.4,11.8,5.6
Prince George's,Northview Elementary,Mathematics 5,5,5,5.6,,
Prince George's,Northview Elementary,Mathematics 4,8.8,9,10.6,0.2,1.6
Prince George's,Northview Elementary,Mathematics 3,10.8,7.8,17.3,-3,9.5
Prince George's,Northview Elementary,English Language Arts 5,20.7,25.6,31.5,4.9,5.9
Prince George's,Northview Elementary,English Language Arts 4,38.5,41.8,32.6,3.3,-9.2
Prince George's,Northview Elementary,English Language Arts 3,36.6,41.1,45,4.5,3.9
